FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,Cxpipiens,Cxtarsalis,Cxquinq,Cxsalin,Cxnigripal
0,31,039,00835841,31039,Cuming,Cuming County,1,1,0,1,0
1,53,069,01513275,53069,Wahkiakum,Wahkiakum County,1,1,0,0,0
2,35,011,00933054,35011,De Baca,De Baca County,0,1,1,1,0
3,31,109,00835876,31109,Lancaster,Lancaster County,1,1,0,1,0
4,31,129,00835886,31129,Nuckolls,Nuckolls County,1,1,0,1,0
5,46,099,01265772,46099,Minnehaha,Minnehaha County,1,1,0,1,0
6,48,327,01383949,48327,Menard,Menard County,0,1,1,1,0
7,06,091,00277310,06091,Sierra,Sierra County,1,1,0,0,0
8,21,053,00516873,21053,Clinton,Clinton County,1,1,1,1,0
9,39,063,01074044,39063,Hancock,Hancock County,1,1,0,1,0
10,48,189,01383880,48189,Hale,Hale County,0,1,1,1,0
11,01,027,00161539,01027,Clay,Clay County,0,1,1,1,1
12,48,011,01383791,48011,Armstrong,Armstrong County,0,1,1,1,0
13,39,003,01074015,39003,Allen,Allen County,1,1,0,1,0
14,13,189,00348794,13189,McDuffie,McDuffie County,0,1,1,1,1
15,55,111,01581115,55111,Sauk,Sauk County,1,1,0,1,0
16,05,137,00069902,05137,Stone,Stone County,1,1,1,1,0
17,41,063,01155135,41063,Wallowa,Wallowa County,1,1,0,0,0
18,42,007,01214112,42007,Beaver,Beaver County,1,0,0,1,0
19,28,061,00695754,28061,Jasper,Jasper County,0,1,1,1,1
20,29,083,00758496,29083,Henry,Henry County,1,1,1,1,0
21,08,109,00198170,08109,Saguache,Saguache County,1,1,0,0,0
22,37,037,01008544,37037,Chatham,Chatham County,1,0,1,1,0
23,49,033,01448030,49033,Rich,Rich County,1,1,0,0,0
24,40,001,01101788,40001,Adair,Adair County,1,1,1,1,0
25,39,085,01074055,39085,Lake,Lake County,1,1,0,1,0
26,51,775,01789074,51775,Salem,Salem city,1,0,0,1,0
27,51,121,01674630,51121,Montgomery,Montgomery County,1,0,0,1,0
28,47,065,01639749,47065,Hamilton,Hamilton County,1,1,1,1,0
29,35,035,00929104,35035,Otero,Otero County,0,1,1,1,0
30,35,003,00929108,35003,Catron,Catron County,0,1,1,0,0
31,01,091,00161572,01091,Marengo,Marengo County,0,1,1,1,1
32,56,023,01605076,56023,Lincoln,Lincoln County,1,1,0,0,0
33,29,011,00758460,29011,Barton,Barton County,1,1,1,1,0
34,48,057,01383814,48057,Calhoun,Calhoun County,0,1,1,1,1
35,51,735,01498436,51735,Poquoson,Poquoson city,1,0,0,1,0
36,54,075,01550044,54075,Pocahontas,Pocahontas County,1,0,0,1,0
37,48,077,01383824,48077,Clay,Clay County,0,1,1,1,0
38,51,095,01480135,51095,James City,James City County,1,0,0,1,0
39,31,101,00835872,31101,Keith,Keith County,1,1,0,1,0
40,31,137,00835890,31137,Phelps,Phelps County,1,1,0,1,0
41,22,019,00558468,22019,Calcasieu,Calcasieu Parish,0,1,1,1,1
42,22,111,00559528,22111,Union,Union Parish,0,1,1,1,0
43,40,135,01101855,40135,Sequoyah,Sequoyah County,1,1,1,1,0
44,01,049,00161550,01049,DeKalb,DeKalb County,1,1,1,1,1
45,36,101,00974148,36101,Steuben,Steuben County,1,0,0,1,0
46,42,053,01213669,42053,Forest,Forest County,1,0,0,1,0
47,22,105,00559500,22105,Tangipahoa,Tangipahoa Parish,0,1,1,1,1
48,51,179,01480173,51179,Stafford,Stafford County,1,0,0,1,0
49,26,109,01622997,26109,Menominee,Menominee County,1,1,0,0,0
50,18,073,00450494,18073,Jasper,Jasper County,1,1,0,1,0
51,13,025,00351605,13025,Brantley,Brantley County,0,1,1,1,1
52,13,171,00326713,13171,Lamar,Lamar County,0,1,1,1,1
53,18,151,00450390,18151,Steuben,Steuben County,1,1,0,1,0
54,48,361,01383966,48361,Orange,Orange County,0,1,1,1,1
55,39,047,01074036,39047,Fayette,Fayette County,1,1,0,1,0
56,25,015,00606934,25015,Hampshire,Hampshire County,1,0,0,1,0
57,21,003,00516848,21003,Allen,Allen County,1,1,1,1,0
58,37,001,01008531,37001,Alamance,Alamance County,1,0,1,1,0
59,20,073,00485003,20073,Greenwood,Greenwood County,1,1,1,1,0
60,25,025,00606939,25025,Suffolk,Suffolk County,1,0,0,1,0
61,16,051,00399751,16051,Jefferson,Jefferson County,1,1,0,0,0
62,48,177,01383874,48177,Gonzales,Gonzales County,0,1,1,1,1
63,47,115,01639770,47115,Marion,Marion County,1,1,1,1,0
64,26,007,01622946,26007,Alpena,Alpena County,1,1,0,0,0
65,21,231,00516962,21231,Wayne,Wayne County,1,1,1,1,0
66,47,185,01639800,47185,White,White County,1,1,1,1,0
67,48,147,01383859,48147,Fannin,Fannin County,0,1,1,1,0
68,20,043,00484991,20043,Doniphan,Doniphan County,1,1,1,1,0
69,48,265,01383918,48265,Kerr,Kerr County,0,1,1,1,1
70,12,053,00295751,12053,Hernando,Hernando County,0,1,1,1,1
71,12,129,00306912,12129,Wakulla,Wakulla County,0,1,1,1,1
72,12,131,00295727,12131,Walton,Walton County,0,1,1,1,1
73,28,017,00695733,28017,Chickasaw,Chickasaw County,0,1,1,1,1
74,26,035,01622960,26035,Clare,Clare County,1,0,0,0,0
