FID,Join_Count,TARGET_FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ORIG_FID,MOD,LON,LAT,ROW_ID,COL_ID
0,1,0,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020, , , ,A,1477641638.000000000000000,10701538.000000000000000,+41.9158651,-096.7885168,0,0,-96.813000000000002,41.938000000000002,136,226
1,1,1,53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020, , , ,A,680956787.000000000000000,61588406.000000000000000,+46.2946377,-123.4244583,1,0,-123.438000000000002,46.313000000000002,171,13
2,1,2,35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020, , , ,A,6016761648.000000000000000,29147345.000000000000000,+34.3592729,-104.3686961,2,0,-104.438000000000002,34.313000000000002,75,165
3,1,3,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700, ,A,2169252486.000000000000000,22867561.000000000000000,+40.7835474,-096.6886584,3,0,-96.688000000000002,40.813000000000002,127,227
4,1,4,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020, , , ,A,1489645186.000000000000000,1718484.000000000000000,+40.1764918,-098.0468422,4,0,-98.063000000000002,40.188000000000002,122,216
5,1,5,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020, ,43620, ,A,2089691696.000000000000000,18198505.000000000000000,+43.6674723,-096.7957261,5,0,-96.813000000000002,43.688000000000002,150,226
6,1,6,48,327,01383949,48327,Menard,Menard County,06,H1,G4020, , , ,A,2336237920.000000000000000,613559.000000000000000,+30.8843921,-099.8539616,6,0,-99.813000000000002,30.937999999999999,48,202
7,1,7,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020, , , ,A,2468694586.000000000000000,23299110.000000000000000,+39.5769252,-120.5219926,7,0,-120.563000000000002,39.563000000000002,117,36
8,1,8,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020, , , ,A,510864294.000000000000000,21164151.000000000000000,+36.7272577,-085.1360977,8,0,-85.188000000000002,36.688000000000002,94,319
9,1,9,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,248,22300, ,A,1376210232.000000000000000,5959837.000000000000000,+41.0004711,-083.6660335,9,0,-83.688000000000002,41.063000000000002,129,331
10,1,10,48,189,01383880,48189,Hale,Hale County,06,H1,G4020, ,38380, ,A,2602109431.000000000000000,246678.000000000000000,+34.0684364,-101.8228879,10,0,-101.813000000000002,34.063000000000002,73,186
11,1,11,01,027,00161539,01027,Clay,Clay County,06,H1,G4020, , , ,A,1564253513.000000000000000,5283523.000000000000000,+33.2703999,-085.8635254,11,0,-85.813000000000002,33.313000000000002,67,314
12,1,12,48,011,01383791,48011,Armstrong,Armstrong County,06,H1,G4020,108,11100, ,A,2354581675.000000000000000,12219587.000000000000000,+34.9641790,-101.3566363,12,0,-101.313000000000002,34.938000000000002,80,190
13,1,13,39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620, ,A,1042470095.000000000000000,11266164.000000000000000,+40.7716274,-084.1061032,13,0,-84.063000000000002,40.813000000000002,127,328
14,1,14,13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020, ,12260, ,A,666813913.000000000000000,23119020.000000000000000,+33.4796231,-082.4787331,14,0,-82.438000000000002,33.438000000000002,68,341
15,1,15,55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660, ,A,2153665639.000000000000000,45713371.000000000000000,+43.4279976,-089.9433290,15,0,-89.938000000000002,43.438000000000002,148,281
16,1,16,05,137,00069902,05137,Stone,Stone County,06,H1,G4020, , , ,A,1570579424.000000000000000,7841928.000000000000000,+35.8570169,-092.1405080,16,0,-92.188000000000002,35.813000000000002,87,263
17,1,17,41,063,01155135,41063,Wallowa,Wallowa County,06,H1,G4020, , , ,A,8147836572.000000000000000,14191789.000000000000000,+45.5937530,-117.1855796,17,0,-117.188000000000002,45.563000000000002,165,63
18,1,18,42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300, ,A,1125901161.000000000000000,24165972.000000000000000,+40.6841401,-080.3507209,18,0,-80.313000000000002,40.688000000000002,126,358
19,1,19,28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020, ,29860, ,A,1751451429.000000000000000,3181592.000000000000000,+32.0169894,-089.1194302,19,0,-89.063000000000002,32.063000000000002,57,288
20,1,20,29,083,00758496,29083,Henry,Henry County,06,H1,G4020, , , ,A,1805075858.000000000000000,91636450.000000000000000,+38.3864909,-093.7926278,20,0,-93.813000000000002,38.438000000000002,108,250
21,1,21,08,109,00198170,08109,Saguache,Saguache County,06,H1,G4020, , , ,A,8206547707.000000000000000,4454510.000000000000000,+38.0316514,-106.2346662,21,0,-106.313000000000002,38.063000000000002,105,150
22,1,22,37,037,01008544,37037,Chatham,Chatham County,06,H1,G4020,450,20500, ,A,1765011149.000000000000000,71264075.000000000000000,+35.7049939,-079.2514542,22,0,-79.313000000000002,35.688000000000002,86,366
